institution_name,institution_type,department,service_category,address,sigungu,phone,latitude,longitude,geocode_query,matched_address
인천자생한방병원,한방병원,침구과 한방재활의학과 한방신경정신과 한방내과 영상의학과 내과,MENTAL_HEALTH,"인천광역시 남동구 예술로 126, 4층, 5층일부층 501,502호 (구월동)",남동구,032-230-1003,37.44512955,126.7008867,인천광역시 남동구 예술로 126,인천 남동구 예술로 126
인천정병원,정신병원,정신건강의학과 내과,MENTAL_HEALTH,"인천광역시 남동구 남동대로 931, 3~6층 (간석동)",남동구,032-424-7555,37.46548584,126.7074946,인천광역시 남동구 남동대로 931,인천 남동구 남동대로 931
장수찬신경외과의원,의원,내과 신경과 정신건강의학과 외과 정형외과 신경외과 마취통증의학과 소아청소년과 피부과 비뇨의학과 영상의학과,MENTAL_HEALTH,"인천광역시 남동구 성말로13번길 15, 302호,308호 (구월동, 메인프라자)",남동구,032-424-3114,37.44626295,126.7017867,인천광역시 남동구 성말로13번길 15,인천 남동구 성말로13번길 15
조수신소아청소년과의원,의원,예방의학과 비뇨의학과 피부과 안과 소아청소년과 정형외과 외과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 남동구 논고개로123번길 17, 아이플렉스 3층 305-1호 (논현동)",남동구,032-433-7175,37.40168489,126.7230837,인천광역시 남동구 논고개로123번길 17,인천 남동구 논고개로123번길 17
참정신건강의학과의원,의원,정신건강의학과 신경과,MENTAL_HEALTH,"인천광역시 남동구 인하로 497-5, 13층 3호 (구월동, 푸른세상안과)",남동구,032-421-7738,37.4436079,126.7015894,인천광역시 남동구 인하로 497-5,인천 남동구 인하로 497-5
키우미한의원,한의원,한방내과 한방소아과 한방신경정신과 침구과,MENTAL_HEALTH,"인천광역시 남동구 인하로507번길 9, 602호 (구월동, 하나프라자)",남동구,032-429-5675,37.44389593,126.702691,인천광역시 남동구 인하로507번길 9,인천 남동구 인하로507번길 9
한음한방신경정신과한의원,한의원,한방신경정신과,MENTAL_HEALTH,"인천광역시 남동구 성말로 10, 효명프라자 401호 (구월동)",남동구,032-421-8576,37.44519396,126.7015253,인천광역시 남동구 성말로 10,인천 남동구 성말로 10
행복드림의원,의원,정신건강의학과 외과 마취통증의학과 내과,MENTAL_HEALTH,"인천광역시 남동구 호구포로 808, 수정빌딩 601,602호 (구월동)",남동구,032-467-0467,37.45448826,126.7195181,인천광역시 남동구 호구포로 808,인천 남동구 호구포로 808
김종억신경정신과의원,의원,신경과 정신건강의학과,MENTAL_HEALTH,인천광역시 미추홀구 경인로 462 (주안동),미추홀구,032-425-9798,37.45820898,126.6915287,인천광역시 미추홀구 경인로 462,인천 미추홀구 경인로 462
김택수정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 미추홀구 미추홀대로 716, 메인프라자동 301호 (주안동)",미추홀구,032-446-9025,37.46129119,126.680592,인천광역시 미추홀구 미추홀대로 716,인천 미추홀구 미추홀대로 716
도화요양병원,요양병원,내과 신경과 외과 정형외과 신경외과 피부과 비뇨의학과 재활의학과 가정의학과 한방내과 한방안·이비인후·피부과 한방신경정신과 사상체질과 침구과,MENTAL_HEALTH,인천광역시 미추홀구 경인로 302 (도화동),미추홀구,032-865-0033,37.45971576,126.6738871,인천광역시 미추홀구 경인로 302,인천 미추홀구 경인로 302
모아병원,정신병원,가정의학과 피부과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 미추홀구 미추홀대로 730, 고려웨딩홀 1층일부~2층 (주안동)",미추홀구,032-508-7513,37.46259013,126.6807745,인천광역시 미추홀구 미추홀대로 730,인천 미추홀구 미추홀대로 730
박내과의원,의원,예방의학과 가정의학과 결핵과 재활의학과 비뇨의학과 피부과 이비인후과 소아청소년과 마취통증의학과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 미추홀구 경원대로 848, 주안태흥프라자 3층 304호 (주안동)",미추홀구,032-422-8383,37.45843328,126.6898253,인천광역시 미추홀구 경원대로 848,인천 미추홀구 경원대로 848
서원벽신경정신과의원,의원,정신건강의학과 신경과,MENTAL_HEALTH,인천광역시 미추홀구 미추홀대로 634 (주안동),미추홀구,032-432-9911,37.45387841,126.6801569,인천광역시 미추홀구 미추홀대로 634,인천 미추홀구 미추홀대로 634
신광철정신건강의학과의원,의원,정신건강의학과 신경과,MENTAL_HEALTH,인천광역시 미추홀구 인하로 275 (주안동),미추홀구,032-866-4506,37.44831203,126.6787189,인천광역시 미추홀구 인하로 275,인천 미추홀구 인하로 275
신기고려정형외과정신건강의학과의원,의원,정형외과 신경외과 재활의학과 성형외과 정신건강의학과,MENTAL_HEALTH,"인천광역시 미추홀구 인하로 264, 성리빌딩 2~6층 (주안동)",미추홀구,032-867-8202,37.4480207,126.6773479,인천광역시 미추홀구 인하로 264,인천 미추홀구 인하로 264
신동진신경과의원,의원,가정의학과 진단검사의학과 영상의학과 소아청소년과 마취통증의학과 신경외과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 미추홀구 미추홀대로 696, 태성빌딩 4층 2호 (주안동)",미추홀구,032-431-7575,37.45956629,126.6804203,인천광역시 미추홀구 미추홀대로 696,인천 미추홀구 미추홀대로 696
알엠병원,병원,침구과 사상체질과 한방재활의학과 한방신경정신과 한방내과 가정의학과 재활의학과 비뇨의학과 피부과 소아청소년과 내과,MENTAL_HEALTH,인천광역시 미추홀구 한나루로 446 (학익동),미추홀구,032-874-2727,37.44677907,126.6675507,인천광역시 미추홀구 한나루로 446,인천 미추홀구 한나루로 446
엘리엘리정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 미추홀구 숙골로 116, 303호 엘리엘리정신건강의학과 (도화동)",미추홀구,032-873-1255,37.47236729,126.6617838,인천광역시 미추홀구 숙골로 116,인천 미추홀구 숙골로 116
원병원,정신병원,정신건강의학과 신경과,MENTAL_HEALTH,"인천광역시 미추홀구 인하로 372, 지하1~2, 1~5층 (주안동, 남영빌딩)",미추홀구,032-547-7110,37.44804699,126.6896576,인천광역시 미추홀구 인하로 372,인천 미추홀구 인하로 372
인천마음벗정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 미추홀구 독배로 311 (용현동, 비젼프라자)",미추홀구,032-884-4620,37.44814624,126.6491202,인천광역시 미추홀구 독배로 311,인천 미추홀구 독배로 311
인천우리병원,정신병원,내과 정신건강의학과 피부과,MENTAL_HEALTH,인천광역시 미추홀구 석바위로53번길 8 (주안동),미추홀구,032-715-5300,37.46126926,126.678982,인천광역시 미추홀구 석바위로53번길 8,인천 미추홀구 석바위로53번길 8
저스트병원,병원,예방의학과 응급의학과 가정의학과 재활의학과 진단검사의학과 병리과 영상의학과 피부과 이비인후과 소아청소년과 마취통증의학과 신경외과 정형외과 외과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 미추홀구 석정로 21, 4~7층 (숭의동)",미추홀구,1544-1554,37.46174044,126.6420491,인천광역시 미추홀구 석정로 21,인천 미추홀구 석정로 21
조규형신경정신과의원,의원,내과 정신건강의학과 신경과,MENTAL_HEALTH,인천광역시 미추홀구 경인로 431 (주안동),미추홀구,032-433-0830,37.45828982,126.6880016,인천광역시 미추홀구 경인로 431,인천 미추홀구 경인로 431
주안유정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 미추홀구 인주대로418번길 3, 인하메디컬센터 6층 602호 (주안동)",미추홀구,032-715-7953,37.4508975,126.6832299,인천광역시 미추홀구 인주대로418번길 3,인천 미추홀구 인주대로418번길 3
지성병원,정신병원,정신건강의학과,MENTAL_HEALTH,"인천광역시 미추홀구 아암대로 109 (용현동, 5, 6, 7, 8층)",미추홀구,032-862-5544,37.45202183,126.6322569,인천광역시 미추홀구 아암대로 109,인천 미추홀구 아암대로 109
평온숲정신건강의학과의원,의원,정신건강의학과 신경과,MENTAL_HEALTH,"인천광역시 미추홀구 독배로 309, 노블레스타워 205호 (용현동)",미추홀구,032-886-7979,37.44779291,126.6492579,인천광역시 미추홀구 독배로 309,인천 미추홀구 독배로 309
홍정신과의원,의원,정신건강의학과,MENTAL_HEALTH,인천광역시 미추홀구 경인로 293 (도화동),미추홀구,032-431-1116,37.46091394,126.6736327,인천광역시 미추홀구 경인로 293,인천 미추홀구 경인로 293
황원준정신건강의학과의원,의원,정신건강의학과 신경과,MENTAL_HEALTH,"인천광역시 미추홀구 경인로 399-1, (주)신대진사옥빌딩 2층 (주안동)",미추홀구,032-435-7767,37.45847,126.684531,인천광역시 미추홀구 경인로 399-1,인천 미추홀구 경인로 399-1
공감정신과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 부평구 부평대로 83, 강남타워 8층 802호 (부평동)",부평구,032-527-5070,37.49894675,126.7217341,인천광역시 부평구 부평대로 83,인천 부평구 부평대로 83
굿케어요양병원,요양병원,한방내과 가정의학과 재활의학과 피부과 성형외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 부평구 장제로 117, 1~8층 (부평동)",부평구,032-710-4358,37.4959916,126.7298336,인천광역시 부평구 장제로 117,인천 부평구 장제로 117
글로리병원,병원,내과 재활의학과 정신건강의학과 한방내과,MENTAL_HEALTH,"인천광역시 부평구 길주로 655, 1층~11층 (삼산동, 글로리타워)",부평구,032-262-9000,37.50716067,126.7353867,인천광역시 부평구 길주로 655,인천 부평구 길주로 655
김경진정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 부평구 평천로 386, 2층 (삼산동)",부평구,032-511-9112,37.51727722,126.7331105,인천광역시 부평구 평천로 386,인천 부평구 평천로 386
김종숙정신건강의학과의원,의원,정신건강의학과 신경과 내과,MENTAL_HEALTH,인천광역시 부평구 부평대로 51 (부평동),부평구,032-526-9203,37.49606586,126.7221852,인천광역시 부평구 부평대로 51,인천 부평구 부평대로 51
김태수정신건강의학과의원,의원,내과 신경과 정신건강의학과,MENTAL_HEALTH,"인천광역시 부평구 경원대로 1234, 7층 (산곡동, 삼주빌딩)",부평구,032-525-8700,37.4868836,126.7082325,인천광역시 부평구 경원대로 1234,인천 부평구 경원대로 1234
마음고요의원,의원,가정의학과 정신건강의학과,MENTAL_HEALTH,"인천광역시 부평구 부평대로 157, 4층 (부평동)",부평구,070-7576-2513,37.50563147,126.7209697,인천광역시 부평구 부평대로 157,인천 부평구 부평대로 157
미르한방병원,한방병원,가정의학과 한방내과 한방신경정신과 한방재활의학과 침구과,MENTAL_HEALTH,"인천광역시 부평구 장제로 153, 부흥빌딩 1층일부(105호), 4층, 5층, 9층 (부평동)",부평구,032-501-7582,37.4992408,126.7301865,인천광역시 부평구 장제로 153,인천 부평구 장제로 153
부평삼산내과의원,의원,피부과 안과 소아청소년과 정신건강의학과 내과,MENTAL_HEALTH,"인천광역시 부평구 체육관로 40, 신영프라자 901호~906호 (삼산동)",부평구,032-521-0075,37.50823941,126.7361405,인천광역시 부평구 체육관로 40,인천 부평구 체육관로 40
부평성모정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 부평구 부평대로 11, 2층 일부호 (부평동)",부평구,032-710-8300,37.49234982,126.7226718,인천광역시 부평구 부평대로 11,인천 부평구 부평대로 11
부평숲정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 부평구 부평대로 24, 가나빌딩 2층 201호 (부평동)",부평구,032-719-7545,37.4935564,126.7233083,인천광역시 부평구 부평대로 24,인천 부평구 부평대로 24
사랑의가정의학과의원,의원,가정의학과 진단검사의학과 영상의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 성형외과 신경외과 정형외과 외과 정신건강의학과 내과,MENTAL_HEALTH,"인천광역시 부평구 동수로 25, 2층 (부평동)",부평구,032-507-3737,37.4850318,126.721347,인천광역시 부평구 동수로 25,인천 부평구 동수로 25
서울정형외과신경과의원,의원,피부과 정신건강의학과 가정의학과 외과 정형외과 응급의학과 신경외과 소아청소년과 내과 신경과 재활의학과 마취통증의학과,MENTAL_HEALTH,"인천광역시 부평구 길주로 382, 지하1층, 1층~4층 (산곡동)",부평구,032-546-7582,37.50834173,126.7043931,인천광역시 부평구 길주로 382,인천 부평구 길주로 382
심우정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 부평구 길주로 633, 삼산메디캐슬 302호 (삼산동)",부평구,032-504-2202,37.50729929,126.7328853,인천광역시 부평구 길주로 633,인천 부평구 길주로 633
연세꿈나무소아청소년과의원,의원,소아청소년과 내과 이비인후과 가정의학과 피부과 외과 정형외과 마취통증의학과 안과 영상의학과 진단검사의학과 정신건강의학과,MENTAL_HEALTH,"인천광역시 부평구 부영로189번길 51, 103,104-1호 (산곡동, 오남프라자)",부평구,032-519-9111,37.50211844,126.7129151,인천광역시 부평구 부영로189번길 51,인천 부평구 부영로189번길 51
연우정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 부평구 길주로 641, 3층 일부호 (삼산동)",부평구,032-330-1210,37.50721517,126.7338573,인천광역시 부평구 길주로 641,인천 부평구 길주로 641
윤충한정신건강의학과의원,의원,신경과 정신건강의학과,MENTAL_HEALTH,인천광역시 부평구 부평대로 38 (부평동),부평구,032-524-7272,37.4948541,126.7230285,인천광역시 부평구 부평대로 38,인천 부평구 부평대로 38
인천바오로의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 부평구 부흥로 329, 로얄프라자 2층 201~202, 206~209, 212호 (부평동)",부평구,032-525-7080,37.49855913,126.7285885,인천광역시 부평구 부흥로 329,인천 부평구 부흥로 329
정건연세정신과의원,의원,정신건강의학과 신경과,MENTAL_HEALTH,"인천광역시 부평구 부평대로 33, 7층 (부평동, 창성빌딩)",부평구,032-526-1900,37.49438247,126.722513,인천광역시 부평구 부평대로 33,인천 부평구 부평대로 33
중앙신경외과의원,의원,정형외과 신경외과 피부과 비뇨의학과 내과 소아청소년과 이비인후과 가정의학과 정신건강의학과 마취통증의학과,MENTAL_HEALTH,"인천광역시 부평구 마장로 314 (산곡동, 5층일부)",부평구,032-507-9800,37.50603247,126.7036436,인천광역시 부평구 마장로 314,인천 부평구 마장로 314
청주강세구한의원,한의원,한방내과 한방신경정신과 한방재활의학과 침구과,MENTAL_HEALTH,"인천광역시 부평구 경원대로 1404, 302호 일부, 303호 (부평동)",부평구,032-527-9870,37.49093808,126.7250434,인천광역시 부평구 경원대로 1404,인천 부평구 경원대로 1404
최기은정신건강의학과의원,의원,신경과 정신건강의학과 내과,MENTAL_HEALTH,인천광역시 부평구 열우물로 21 (십정동),부평구,032-437-0330,37.47049703,126.700926,인천광역시 부평구 열우물로 21,인천 부평구 열우물로 21
탁월한내과의원,의원,가정의학과 영상의학과 비뇨의학과 피부과 이비인후과 소아청소년과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 부평구 체육관로 40, 신영프라자 7층 701~703호, 8층 801~802호 (삼산동)",부평구,032-710-8575,37.50823941,126.7361405,인천광역시 부평구 체육관로 40,인천 부평구 체육관로 40
허정일의원,의원,내과 외과 소아청소년과 정신건강의학과 피부과,MENTAL_HEALTH,인천광역시 부평구 길주남로113번길 11-3 (부개동),부평구,032-529-0123,37.50447749,126.7343079,인천광역시 부평구 길주남로113번길 11-3,인천 부평구 길주남로113번길 11-3
고정신건강의학과의원,의원,정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 서구 가정로 363, 그린빌딩 2층 201호 (신현동)",서구,032-572-0572,37.51739965,126.6726789,인천광역시 서구 가정로 363,인천 서구 가정로 363
닥터스의원,의원,신경과 신경외과 정신건강의학과 재활의학과 내과 정형외과 마취통증의학과,MENTAL_HEALTH,"인천광역시 서구 크리스탈로102번길 8-12, 수린빌딩 5~7층 (청라동)",서구,032-721-4115,37.53335188,126.6377921,인천광역시 서구 크리스탈로102번길 8-12,인천 서구 크리스탈로102번길 8-12
더(the)조은정신건강의학과의원,의원,피부과 외과 정신건강의학과 신경과 내과,MENTAL_HEALTH,"인천광역시 서구 원당대로 860, 보람프라자 804호 (당하동)",서구,032-564-7505,37.59328217,126.6968709,인천광역시 서구 원당대로 860,인천 서구 원당대로 860
루원마음봄 정신건강의학과의원,의원,정신건강의학과,MENTAL_HEALTH,"인천광역시 서구 봉오대로 255, 6층 605,606호 (가정동)",서구,032-569-7585,37.52514143,126.6779014,인천광역시 서구 봉오대로 255,인천 서구 봉오대로 255
